DNA_Clean_Log_File - File name = A_Clean_File_2022-07-27125456 - AA code = invert - AGCT only = TRUE
********** Anopheles_COI_MAFFT_Trimmed - 2022-07-27 12:54:56 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
aconitus	24	19	19	19	19	19	0.0466666666666667	0.0716666666666667	YES
aitkenii	2	2	2	2	2	2	0.0183333333333333	0.0566666666666667	YES
albertoi	3	3	3	3	3	3	0.015	0.00333333333333333	NO
albimanus	322	206	204	204	204	204	0.04	0.0583333333333333	YES
albitarsis	55	39	38	38	38	36	0.05	0.0183333333333333	NO
algeriensis	37	31	30	30	30	30	0.0733333333333333	0.0933333333333333	YES
annularis	2	1	1	1	1	1	NA	NA	NA
annulipes	9	6	6	6	6	6	0.04	0.0716666666666667	YES
antunesi	7	7	7	7	7	7	0.0366666666666667	0.025	NO
apicimacula	10	7	7	7	7	7	0.0666666666666667	0.00166666666666667	NO
apoci	1	1	NA	NA	NA	NA	-	-	-
arabiensis	24	16	15	15	15	14	0.00666666666666667	0	NO
argyritarsis	24	15	15	15	15	15	0.045	0	NO
argyropus	28	14	14	14	14	14	0.0133333333333333	0.045	YES
artemievi	1	1	1	1	1	1	NA	NA	NA
arthuri	21	21	21	21	21	18	0.01	0.0283333333333333	YES
atroparvus	138	128	127	127	127	127	0.0216666666666667	0.0183333333333333	NO
atropos	5	5	5	5	5	5	0.0166666666666667	0.0733333333333333	YES
azaniae	4	4	4	4	4	4	0.00333333333333333	0	NO
baileyi	122	61	61	61	61	61	0.0933333333333333	0.075	NO
balabacensis	30	15	15	15	15	15	0.00833333333333333	0.0383333333333333	YES
bancroftii	1	1	1	1	1	1	NA	NA	NA
barbirostris	100	79	79	79	79	79	0.0566666666666667	0	NO
beklemishevi	3	3	3	3	3	3	0.005	0.03	YES
belenrae	6	5	5	5	5	5	0.0166666666666667	0	NO
benarrochi	14	7	7	7	7	7	0.0816666666666667	0.0466666666666667	NO
bengalensis	4	4	4	4	4	4	0.00833333333333333	0.0566666666666667	YES
braziliensis	16	13	13	13	13	13	0.0333333333333333	0.0666666666666667	YES
calderoni	11	11	11	11	11	11	0.015	0.085	YES
campestris	70	35	35	35	35	33	0.00666666666666667	0	NO
christyi	1	1	1	1	1	1	NA	NA	NA
claviger	57	53	52	52	52	52	0.0366666666666667	0.055	YES
coluzzii	5	5	5	5	5	5	0.0133333333333333	0.00166666666666667	NO
coustani	70	65	64	64	64	64	0.0183333333333333	0.00666666666666667	NO
cracens	21	11	11	11	11	11	0.00166666666666667	0.015	YES
crawfordi	68	34	34	34	34	34	0.0316666666666667	0.025	NO
crucians	158	144	144	144	144	144	0.095	0	NO
cruzii	2	1	1	1	1	1	NA	NA	NA
culicifacies	14	11	11	11	11	11	0.0466666666666667	0.0583333333333333	YES
daciae	95	48	48	48	48	48	0.035	0	NO
darlingi	506	261	261	261	261	261	0.015	0.07	YES
deaneorum	90	87	87	87	87	87	0.0283333333333333	0.0133333333333333	NO
demeilloni	5	5	5	5	5	5	0.0166666666666667	0.0716666666666667	YES
dirus	22	16	16	16	16	16	0.0266666666666667	0.015	NO
dissidens	143	116	116	116	116	114	0.01	0	NO
dthali	26	14	14	14	14	14	0.0116666666666667	0	NO
dunhami	33	25	25	25	25	25	0.0216666666666667	0.0116666666666667	NO
earlei	9	9	9	9	9	9	0.00833333333333333	0	NO
eiseni	6	6	6	6	6	6	0.075	0.0683333333333333	NO
epiroticus	1	1	1	1	1	1	NA	NA	NA
evansae	20	10	10	10	10	9	0.0133333333333333	0	NO
farauti	3	3	3	3	3	3	0.045	0.0566666666666667	YES
forattinii	4	2	2	2	2	2	0.00333333333333333	0.0933333333333333	YES
franciscanus	35	35	35	35	35	33	0.0116666666666667	0.0733333333333333	YES
freeborni	1	1	1	1	1	1	NA	NA	NA
funestus	26	15	15	15	15	15	0.00666666666666667	0.01	YES
gabaldoni	2	2	2	2	2	2	0.0133333333333333	0.00166666666666667	NO
galvaoi	8	4	4	4	4	4	0.005	0.0283333333333333	YES
gambiae	75	44	44	44	44	44	0.02	0	NO
goeldii	26	16	16	16	16	16	0.0183333333333333	0	NO
grabhamii	3	3	3	3	3	3	0.00166666666666667	0.08	YES
guarani	6	3	3	3	3	3	0.00333333333333333	0.0633333333333333	YES
harrisoni	2	1	1	1	1	1	NA	NA	NA
homunculus	18	9	9	9	9	9	0.0116666666666667	0.0616666666666667	YES
hyrcanus	1	1	1	1	1	1	NA	NA	NA
introlatus	38	19	19	19	19	19	0.0166666666666667	0.0483333333333333	YES
jamesii	13	8	8	8	8	7	0.015	0	NO
