DNA_Clean_Log_File - File name = A_Clean_File_2022-07-26144944 - AA code = invert - AGCT only = TRUE
********** Aphis_COI_5P_MAFFT_Trimmed - 2022-07-26 14:49:44 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
acaenovinae	1	1	1	1	1	1	NA	NA	NA
affinis	7	7	7	7	7	7	0.00166666666666667	0.00833333333333333	YES
anuraphoides	1	1	1	1	1	1	NA	NA	NA
argrimoniae	1	1	1	1	1	1	NA	NA	NA
asclepiadis	10	10	10	10	10	10	0.0766666666666667	0	NO
astragalina	29	29	29	29	29	29	0.00333333333333333	0.0216666666666667	YES
aurantii	18	18	18	18	18	17	0.0283333333333333	0.05	YES
boydstoni	1	1	1	1	1	1	NA	NA	NA
caliginosa	7	7	7	7	7	7	0.00833333333333333	0.05	YES
canae	4	4	4	4	4	4	0.00833333333333333	0.0233333333333333	YES
ceanothi	5	5	5	5	5	5	0.00166666666666667	0.0133333333333333	YES
citricidus	16	15	15	15	10	10	0.0833333333333333	0	NO
clerodendri	1	1	1	1	1	1	NA	NA	NA
clydesmithi	1	1	1	1	1	1	NA	NA	NA
commensalis	1	1	1	1	1	1	NA	NA	NA
coprosmae	1	1	1	1	1	1	NA	NA	NA
coreopsidis	5	5	5	5	5	5	0.015	0.0616666666666667	YES
cornifoliae	1	1	1	1	1	1	NA	NA	NA
craccae	31	31	31	31	31	31	0.0666666666666667	0.00166666666666667	NO
craccivora	375	370	369	369	369	350	0.00833333333333333	0	NO
crassicauda	2	2	2	2	2	2	0	0.01	YES
cytisorum	5	5	5	5	5	5	0.06	0.00166666666666667	NO
decepta	6	6	6	6	6	6	0	0.015	YES
elegantula	1	1	1	1	1	1	NA	NA	NA
epilobii	1	1	1	1	1	1	NA	NA	NA
equiseticola	1	1	1	1	1	1	NA	NA	NA
fabae	230	228	228	228	228	204	0.0116666666666667	0	NO
farinosa	34	34	34	34	34	32	0.00333333333333333	0.0533333333333333	YES
glycines	61	61	61	61	61	61	0.00166666666666667	0.0383333333333333	YES
gossypii	525	514	512	512	512	508	0.0133333333333333	0	NO
helianthi	61	61	61	61	61	57	0.0116666666666667	0	NO
holodisci	9	9	9	9	9	8	0.00166666666666667	0.035	YES
hyperici	1	1	1	1	1	1	NA	NA	NA
idaei	2	2	2	2	2	2	0	0.00166666666666667	YES
illinoisensis	16	16	16	16	16	16	0.00666666666666667	0.0383333333333333	YES
impatientis	5	5	5	5	5	5	0	0.035	YES
infrequens	1	1	1	1	1	1	NA	NA	NA
intybi	2	2	2	2	2	2	0.005	0.00666666666666667	YES
kurosawai	5	5	5	5	4	4	0.0666666666666667	0	NO
lhasaensis	4	4	4	4	4	4	0.0633333333333333	0	NO
lugentis	11	10	10	10	10	10	0.00333333333333333	0.0533333333333333	YES
lupini	1	1	1	1	1	1	NA	NA	NA
maculatae	68	68	68	68	68	68	0.00166666666666667	0.0433333333333333	YES
madderae	1	1	1	1	1	1	NA	NA	NA
manitobensis	4	4	4	4	4	4	0	0.005	YES
masoni	2	2	2	2	2	2	0.00166666666666667	0.00666666666666667	YES
minima	1	1	1	1	1	1	NA	NA	NA
nasturtii	35	34	34	34	34	34	0.005	0.0383333333333333	YES
neilliae	7	7	7	7	7	7	0.00666666666666667	0.035	YES
neogillettei	24	24	24	24	24	24	0.00833333333333333	0.0133333333333333	YES
nerii	47	45	44	44	44	40	0.00166666666666667	0	NO
nigratibialis	1	1	1	1	1	1	NA	NA	NA
nivalis	3	3	3	3	3	3	0	0	NO
odinae	11	11	11	11	11	11	0.0116666666666667	0.055	YES
oenotherae	17	17	17	17	17	17	0.00333333333333333	0.0233333333333333	YES
oestlundi	8	8	8	8	8	8	0.0116666666666667	0.01	NO
pentstemonicola	4	4	4	4	4	4	0.00333333333333333	0.0466666666666667	YES
pomi	105	101	101	101	101	101	0.0516666666666667	0	NO
pulchella	1	1	1	1	1	1	NA	NA	NA
punicae	1	1	1	1	1	1	NA	NA	NA
rubicola	7	7	7	7	7	6	0.00166666666666667	0.0316666666666667	YES
rubifolii	2	2	1	1	1	1	NA	NA	NA
ruborum	6	4	4	4	4	4	0.00333333333333333	0.00166666666666667	NO
rumicis	21	19	19	19	19	19	0.0616666666666667	0	NO
salicariae	1	1	1	1	1	1	NA	NA	NA
sambuci	14	14	14	14	14	14	0.005	0.0616666666666667	YES
sarothamni	1	1	1	1	1	1	NA	NA	NA
schneideri	3	3	3	3	3	3	0	0.02	YES
sedi	4	4	4	4	4	4	0	0	NO
solanella	1	1	1	1	1	1	NA	NA	NA
spiraecola	214	195	195	195	195	189	0.0133333333333333	0	NO
spiraephila	14	14	14	14	14	14	0.005	0.045	YES
thalictri	1	1	1	1	1	1	NA	NA	NA
urticata	4	4	4	4	4	4	0	0.0383333333333333	YES
varians	87	87	87	87	87	87	0.00833333333333333	0.005	NO
vernoniae	1	1	1	1	1	1	NA	NA	NA
viburniphila	4	4	4	4	4	4	0.00333333333333333	0.01	YES
victoriae	2	2	2	2	2	2	0	0.0666666666666667	YES
whiteshellensis	1	1	1	1	1	1	NA	NA	NA
********** Brachycaudus_COI_5P_MAFFT_Trimmed - 2022-07-26 14:50:08 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
amygdalinus	4	4	4	4	4	4	0	0.0383333333333333	YES
ballotae	1	1	1	1	1	1	NA	NA	NA
bicolor	2	2	2	2	2	2	0	0.025	YES
cardui	1	1	1	1	1	1	NA	NA	NA
cerasicola	1	1	1	1	1	1	NA	NA	NA
cerinthis	1	1	1	1	1	1	NA	NA	NA
divaricatae	1	1	1	1	1	1	NA	NA	NA
helichrysi	32	32	32	32	32	32	0.0366666666666667	0.0133333333333333	NO
jacobi	1	1	1	1	1	1	NA	NA	NA
klugkisti	5	5	5	5	5	5	0.00166666666666667	0.035	YES
lamii	1	1	1	1	1	1	NA	NA	NA
lateralis	1	1	1	1	1	1	NA	NA	NA
linariae	3	3	3	3	3	3	0.00666666666666667	0.025	YES
lychnicola	1	1	1	1	1	1	NA	NA	NA
lychnidis	4	4	4	4	4	4	0	0.00166666666666667	YES
napelli	1	1	1	1	1	1	NA	NA	NA
persicae	2	2	2	2	2	2	0	0.0233333333333333	YES
populi	3	3	3	3	3	3	0.01	0.00166666666666667	NO
prunicola	6	6	6	6	6	6	0	0	NO
rumexicolens	2	2	1	1	1	1	NA	NA	NA
salicinae	1	1	1	1	1	1	NA	NA	NA
schwartzi	2	2	2	2	2	2	0	0	NO
sedi	2	2	2	2	2	2	0.01	0.005	NO
spiraeae	4	4	4	4	4	4	0.00166666666666667	0.0133333333333333	YES
tragopogonis	4	4	4	4	4	4	0.005	0.00166666666666667	NO
********** Capitophorus_COI_5P_MAFFT_Trimmed - 2022-07-26 14:50:08 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
carduinus	1	1	1	1	1	1	NA	NA	NA
elaeagni	11	11	11	11	11	11	0.00166666666666667	0.0283333333333333	YES
hippophaes	5	5	5	5	5	5	0.025	0.0616666666666667	YES
hudsonicus	6	6	6	6	6	6	0.00666666666666667	0.0616666666666667	YES
xanthii	1	1	1	1	1	1	NA	NA	NA
********** Lipaphis_COI_5P_MAFFT_Trimmed - 2022-07-26 14:50:08 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
erysimi	3	3	3	3	3	3	0.00333333333333333	0	NO
pseudobrassicae	1	1	1	1	1	1	NA	NA	NA
